0.013,0.0,-0.0,0.0,-0.007,0.001
0.013,0.0,-0.0,0.0,-0.007,0.001
0.013,0.0,-0.0,0.0,-0.007,0.001
0.013,0.0,-0.0,0.0,-0.006,0.001
0.013,0.0,-0.0,0.0,-0.006,0.001
0.013,0.0,-0.0,0.0,-0.006,0.001
0.013,0.0,-0.0,0.0,-0.006,0.001
0.013,0.0,-0.0,0.0,-0.006,0.001
0.013,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.012,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.011,0.0,-0.0,0.0,-0.006,0.001
0.01,0.0,-0.0,0.0,-0.006,0.001
0.01,0.0,-0.0,0.0,-0.006,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.01,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,-0.0,-0.005,0.001
0.009,0.0,-0.0,-0.0,-0.005,0.001
0.009,0.0,-0.0,-0.0,-0.005,0.001
0.009,0.0,-0.0,-0.0,-0.005,0.001
0.009,0.0,-0.0,-0.0,-0.005,0.001
0.009,0.0,-0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,-0.0,-0.005,0.001
0.009,-0.0,0.0,0.0,-0.005,0.001
0.009,-0.0,0.0,0.0,-0.005,0.001
0.009,-0.0,0.0,0.0,-0.005,0.001
0.009,-0.0,0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.009,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.005,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.008,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.007,0.0,-0.0,0.0,-0.004,0.001
0.006,0.0,-0.0,0.0,-0.004,0.001
0.006,0.0,-0.0,0.0,-0.004,0.001
0.006,0.0,-0.0,0.0,-0.004,0.001
0.006,0.0,-0.0,0.0,-0.004,0.001
0.006,0.0,-0.0,0.0,-0.004,0.001
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.004,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.006,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
0.005,0.0,-0.0,0.0,-0.003,0.0
